codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
5761-8-SE25,2025-01-16,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Servicios de defensa nacional, orden público y seguridad",SERVICIOS EMAVI Y COMPANIA LIMITADA,15600000
858-15-SE25,2025-01-16,1,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region Metropolitana de Santiago,Servicios de limpieza industrial,VERDLIFE SPA,464815
598-333-SE24,2025-01-16,1,DIRECCION PREVISION DE CARABINEROS DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de defensa, orden público, protección y seguridad",COMERCIAL TOTALPACK LTDA,25100000
5067-283-SE25,2025-01-16,1,UNIVERSIDAD DE SANTIAGO DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de imprenta, fotográficos y audiovisuales",LUIS ALBERTO COLQUE LERICI,2605043
1074010-10-SE25,2025-01-16,1,SUBSECRETARIA DEL INTERIOR,Region Metropolitana de Santiago,"Servicios financieros, pensiones y seguros",BCI SEGUROS GENERALES S A,40624389
1084148-5-SE25,2025-01-16,1,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Region de Arica y Parinacota,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",SEUYEN MAYLIN LAYI LORCA,253042
1075914-1-SE25,2025-01-16,1,SUBSECRETARIA DEL MINISTERIO DE MINERIA,Region Metropolitana de Santiago,"Artículos para estructuras, obras y construcciones",UNIVERSIDAD DE CHILE,4258595
5251-2035-SE24,2025-01-16,1,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,Productos impresos y publicaciones,DIAGONAL LIBROS LIMITADA,721512
5520-253-SE25,2025-01-16,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Equipos y suministros de limpieza,JOMALA INVERSIONES SPA,1057150
5612-3-SE25,2025-01-16,1,SERVICIO AGRICOLA Y GANADERO,Region de Los Rios,"Servicios de transporte, almacenaje y correo",CONTROL DE PLAGAS KAKO RAT SPA,960000
2705-59-SE25,2025-01-16,1,UNIVERSIDAD DEL BIO BIO,Region del Nuble,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",TCL GROUP SPA,9269803
576841-1-SE25,2025-01-16,1,SERVICIO NACIONAL DE LA DISCAPACIDAD,Region Metropolitana de Santiago,"Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública",COOP DE SERVICIOS SERMECOOP LTDA,126901396
2859-29-SE25,2025-01-16,1,UNIVERSIDAD DE ATACAMA,Region de Atacama,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",JENNY ELIZABETH OLIVARES DONOSO,425000
654478-11-SE25,2025-01-16,1,SUBSECRETARIA DE PREVENCION DEL DELITO,Region Metropolitana de Santiago,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",LITORALPRESS MEDIA DE INFORMACION S.A.,12240000
1602-143-SE24,2025-01-16,1,DIRECCION GENERAL DE AERONAUTICA CIVIL,Region Metropolitana de Santiago,"Servicios financieros, pensiones y seguros",MAPFRE COMPANIA DE SEGUROS GENERALES DE CHILE S A,9091463
5413-39-SE25,2025-01-16,1,UNIVERSIDAD DE LOS LAGOS,Region de los Lagos,"Servicios de transporte, almacenaje y correo",LUIS ALBERTO CARDENAS RODRIGUEZ,1840000
926-13-SE25,2025-01-16,1,SUBSECRETARIA DE TRANSPORTES,Region Metropolitana de Santiago,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",SANTANA RED DE NEGOCIOS SPA,166405536
5520-256-SE25,2025-01-16,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de defensa, orden público, protección y seguridad",MANUFACTURAS RAC LIMITADA,607441
5612-3-SE25,2025-01-16,1,SERVICIO AGRICOLA Y GANADERO,Region de Los Rios,"Servicios de transporte, almacenaje y correo",CONTROL DE PLAGAS KAKO RAT SPA,960000
5178-291-SE25,2025-01-17,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",MORETO CLIMA LIMITADA,560000
1411-38-SE25,2025-01-17,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Metropolitana de Santiago,Servicios básicos y de información pública,GTD INTESIS S.A,426336
901-17-SE25,2025-01-17,1,SERVICIO NACIONAL DE MENORES,Region Metropolitana de Santiago,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",MARISOL FLORES RIVERA,1009960
5520-272-SE25,2025-01-17,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de defensa, orden público, protección y seguridad",MANUFACTURAS RAC LIMITADA,1210927
5538-21-SE25,2025-01-17,1,JUNTA NACIONAL DE JARDINES         INFANTILES,Region de Los Rios,Herramientas y maquinaria en general,SEIGARD CHILE S.A.,467687
5647-22-SE25,2025-01-17,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Servicios de limpieza industrial,SERVICIOS INDUSTRIALES MACLEAN SPA,1843961
1575-15-SE25,2025-01-17,1,JUNTA NACIONAL DE JARDINES         INFANTILES,Region del Libertador General Bernardo OHiggins,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",EDITORIAL ARTIDIX LIMITADA,3655022
1084156-37-SE25,2025-01-17,1,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios de transporte, almacenaje y correo",SOC DE TRANSPORTES PEHUEN LTDA,12410000
1411-39-SE25,2025-01-17,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Metropolitana de Santiago,Servicios básicos y de información pública,GTD INTESIS S.A,504557
5360-17-SE25,2025-01-17,1,UNIVERSIDAD DE TARAPACA,Region de Arica y Parinacota,Artículos de fabricación y producción,FERRETERIAS IBERIA LTDA,2146015
1411-37-SE25,2025-01-17,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Metropolitana de Santiago,Servicios básicos y de información pública,GTD INTESIS S.A,445776
5538-14-SE25,2025-01-17,1,JUNTA NACIONAL DE JARDINES         INFANTILES,Region de Los Rios,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",SOCIEDAD COMERCIALIZADORA NESA LAB LIMITADA,505353
